time,open,high,low,close,tick_volume,spread,real_volume
2026-05-27 12:10:00,4489.56,4493.26,4489.44,4491.8,1002,5,0
2026-05-27 12:15:00,4491.8,4495.42,4491.75,4494.57,1236,5,0
2026-05-27 12:20:00,4494.57,4495.19,4490.8,4491.15,1107,5,0
2026-05-27 12:25:00,4491.15,4491.83,4489.41,4490.16,1044,5,0
2026-05-27 12:30:00,4490.16,4490.81,4486.94,4490.7,1697,5,0
2026-05-27 12:35:00,4490.7,4492.37,4490.09,4491.39,1002,5,0
2026-05-27 12:40:00,4491.39,4491.86,4488.38,4488.69,760,5,0
2026-05-27 12:45:00,4488.69,4490.01,4488.37,4489.62,655,5,0
2026-05-27 12:50:00,4489.62,4493.11,4489.6,4492.63,922,5,0
2026-05-27 12:55:00,4492.63,4493.27,4490.2,4490.25,588,5,0
2026-05-27 13:00:00,4490.24,4490.75,4485.1,4486.52,1191,6,0
2026-05-27 13:05:00,4486.52,4489.12,4486.29,4487.2,897,5,0
2026-05-27 13:10:00,4487.19,4487.75,4484.36,4485.57,1118,5,0
2026-05-27 13:15:00,4485.56,4486.41,4479.79,4479.8,1408,5,0
2026-05-27 13:20:00,4479.81,4481.4,4478.09,4479.93,1494,5,0
2026-05-27 13:25:00,4479.93,4480.13,4476.58,4477.08,1702,7,0
2026-05-27 13:30:00,4477.08,4477.36,4472.56,4473.93,2404,8,0
2026-05-27 13:35:00,4473.93,4475.98,4462.17,4463.47,3703,7,0
2026-05-27 13:40:00,4463.46,4470.14,4462.7,4465.54,3639,7,0
2026-05-27 13:45:00,4465.54,4467.01,4444.04,4448.59,5931,9,0
2026-05-27 13:50:00,4448.59,4450.22,4443.11,4444.95,5045,7,0
2026-05-27 13:55:00,4444.98,4450.3,4442.72,4445.91,4099,6,0
2026-05-27 14:00:00,4445.92,4453.17,4445.36,4452.49,3349,7,0
2026-05-27 14:05:00,4452.49,4452.51,4446.47,4449.72,2646,5,0
2026-05-27 14:10:00,4449.72,4451.62,4443.46,4451.26,2885,5,0
2026-05-27 14:15:00,4451.26,4452.34,4447.61,4449.27,2590,5,0
2026-05-27 14:20:00,4449.27,4449.27,4440.37,4445.87,3230,5,0
2026-05-27 14:25:00,4445.87,4446.24,4439.87,4440.96,3025,5,0
2026-05-27 14:30:00,4440.96,4441.81,4432.47,4436.99,3800,5,0
2026-05-27 14:35:00,4436.99,4441.87,4435.06,4441.14,2687,5,0
2026-05-27 14:40:00,4441.14,4444.37,4438.51,4443.27,2275,5,0
2026-05-27 14:45:00,4443.27,4444.83,4439.14,4439.21,2149,5,0
2026-05-27 14:50:00,4439.23,4439.69,4433.67,4433.81,2829,7,0
2026-05-27 14:55:00,4433.81,4434.17,4425.04,4428.77,4126,7,0
2026-05-27 15:00:00,4428.78,4437.6,4428.46,4434.44,3678,5,0
2026-05-27 15:05:00,4434.44,4437.44,4431.91,4432.93,2354,5,0
2026-05-27 15:10:00,4432.9,4433.55,4428.93,4430.42,2999,5,0
2026-05-27 15:15:00,4430.42,4454.16,4427.57,4447.51,6635,5,0
2026-05-27 15:20:00,4447.72,4466.43,4442.25,4455.05,9853,5,0
2026-05-27 15:25:00,4455.03,4460.71,4452.87,4454.84,6194,5,0
2026-05-27 15:30:00,4454.7,4460.24,4445.58,4447.44,5440,5,0
2026-05-27 15:35:00,4447.44,4453.37,4444.6,4452.66,4534,5,0
2026-05-27 15:40:00,4452.69,4452.84,4446.12,4447.08,3657,5,0
2026-05-27 15:45:00,4447.08,4448.23,4442.56,4445.14,3362,5,0
2026-05-27 15:50:00,4445.14,4446.97,4441.08,4446.23,3556,5,0
2026-05-27 15:55:00,4446.22,4446.39,4437.87,4438.92,2988,5,0
2026-05-27 16:00:00,4438.92,4438.98,4429.48,4432.27,5917,3,0
2026-05-27 16:05:00,4432.27,4432.42,4411.63,4414.46,7076,9,0
2026-05-27 16:10:00,4414.53,4420.42,4411.17,4416.71,5796,7,0
2026-05-27 16:15:00,4416.69,4421.39,4409.76,4411.59,4833,5,0
2026-05-27 16:20:00,4411.59,4417.26,4405.95,4416.69,5030,5,0
2026-05-27 16:25:00,4416.67,4419.48,4401.5,4404.76,6526,5,0
2026-05-27 16:30:00,4404.76,4424.49,4403.94,4423.96,6889,5,0
2026-05-27 16:35:00,4423.96,4425.71,4412.52,4418.21,7433,5,0
2026-05-27 16:40:00,4418.21,4423.4,4416.58,4419.32,5929,5,0
2026-05-27 16:45:00,4419.32,4428.46,4418.36,4420.62,5275,5,0
2026-05-27 16:50:00,4420.62,4434.01,4419.41,4425.3,5399,5,0
2026-05-27 16:55:00,4425.3,4428.36,4423.76,4427.39,4762,5,0
2026-05-27 17:00:00,4427.4,4438.21,4426.06,4438.16,5082,5,0
2026-05-27 17:05:00,4438.17,4448.32,4436.83,4444.32,6318,5,0
2026-05-27 17:10:00,4444.32,4455.54,4443.28,4448.04,6440,5,0
2026-05-27 17:15:00,4448.03,4452.04,4446.95,4451.26,4466,5,0
2026-05-27 17:20:00,4451.26,4455.33,4442.89,4444.4,6143,5,0
2026-05-27 17:25:00,4444.4,4446.13,4440.22,4445.57,4810,5,0
2026-05-27 17:30:00,4445.26,4449.4,4435.85,4441.09,6625,5,0
2026-05-27 17:35:00,4441.09,4445.38,4439.86,4444.33,3818,5,0
2026-05-27 17:40:00,4444.33,4445.02,4440.26,4443.26,3427,5,0
2026-05-27 17:45:00,4443.26,4446.2,4438.25,4438.26,3380,5,0
2026-05-27 17:50:00,4438.27,4439.9,4436.7,4439.87,3396,5,0
2026-05-27 17:55:00,4439.89,4439.91,4433.31,4434.01,3339,5,0
